model,lDDToligo_True,lDDToligo_EnQA-MSA
T1110TS125_1o,0.935,0.88720703125
T1110TS348_2o,0.934,0.89208984375
T1110TS348_1o,0.934,0.89453125
T1110TS054_5o,0.935,0.88720703125
T1110TS399_5o,0.935,0.88720703125
T1110TS477_1o,0.93,0.92236328125
T1110TS439_5o,0.908,0.8984375
T1110TS288_4o,0.933,0.8896484375
T1110TS298_3o,0.932,0.904296875
T1110TS205_1o,0.932,0.88916015625
T1110TS239_2o,0.908,0.8984375
T1110TS003_2o,0.932,0.89013671875
T1110TS003_1o,0.933,0.8896484375
T1110TS187_2o,0.932,0.88671875
T1110TS423_3o,0.933,0.89013671875
T1110TS390_5o,0.933,0.88818359375
T1110TS390_2o,0.932,0.89599609375
T1110TS320_5o,0.933,0.88818359375
T1110TS320_2o,0.932,0.89599609375
T1110TS320_4o,0.931,0.90185546875
T1110TS003_5o,0.932,0.890625
T1110TS035_1o,0.931,0.90380859375
T1110TS086_5o,0.932,0.890625
T1110TS390_4o,0.931,0.90185546875
T1110TS423_2o,0.932,0.88671875
T1110TS367_4o,0.931,0.904296875
T1110TS158_1o,0.931,0.90380859375
T1110TS248_1o,0.931,0.90380859375
T1110TS086_3o,0.932,0.89013671875
T1110TS288_3o,0.932,0.8876953125
T1110TS187_3o,0.933,0.89013671875
T1110TS158_5o,0.933,0.8896484375
T1110TS003_3o,0.932,0.8916015625
T1110TS288_1o,0.928,0.8984375
T1110TS169_3o,0.933,0.9248046875
T1110TS098_1o,0.93,0.9296875
T1110TS288_2o,0.931,0.89208984375
T1110TS423_5o,0.932,0.890625
T1110TS390_3o,0.933,0.89306640625
T1110TS158_2o,0.931,0.9033203125
T1110TS086_2o,0.931,0.9013671875
T1110TS188_3o,0.933,0.89404296875
T1110TS320_3o,0.933,0.89306640625
T1110TS320_1o,0.933,0.89453125
T1110TS098_4o,0.933,0.9248046875
T1110TS298_4o,0.932,0.88916015625
T1110TS169_4o,0.933,0.9248046875
T1110TS374_3o,0.933,0.892578125
T1110TS348_3o,0.933,0.89306640625
T1110TS169_2o,0.93,0.9296875
T1110TS298_2o,0.933,0.8935546875
T1110TS180_3o,0.93,0.93017578125
T1110TS390_1o,0.933,0.89404296875
T1110TS086_1o,0.931,0.90234375
